clause_text,clause_type,source,contract_type,source_split,dataset_origin
(d) To carry out servicing of any gas or electrical supply or appliances at the property.,General Obligation,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(e) To comply with any statutory obligation of the landlord in respect of the property or any part of the landlord’s premises.,Property / Premises,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(f) To reinstate, make good, remove or repair any neglect, damage or unauthorised alteration or addition to the property.",Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
2.4.2 The landlord has the right of entry to the property without notice in the case of an emergency .An emergency includes fire; flood; leaks; any imminent risk of physical harm to any person; imminent risk of significant damage to the property or any other property; the property is unoccupied and inadequately secured against unauthorised entry or vandalism. In an emergency the landlord has the right to enter the property without notice to do what is reasonably required to deal with the emergency in an appropriate manner and to record the condition of the property. Any damage caused when entering the property will be made good and afterwards the property will be secured against unauthorised entry.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"3. THE LANDLORD’S RESPONSIBILITIES 3.1 Repairs and Maintenance In accordance with section 11 of the Landlord & Tenant Act 1985 the landlord will keep in repair the structure, exterior of the building, common parts. and all installations for the supply of water, gas, electricity, heating and sanitation, including baths, basins, toilets and sinks provided by the landlord. Common parts include corridors, walkways, stairs, lifts and gardens used by you and others. In sheltered /very sheltered schemes the landlord will keep in good repair furniture and furnishings in common parts. The landlord will carry out repairs within a reasonable time giving priority to emergency repairs.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
3.2 Decorations The landlord will decorate the exterior of the property and the common parts as the landlord considers necessary.,Property / Premises,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"4. THE TENANT'S RIGHTS 4.1 Right to occupy You have the right to occupy the property without interruption or interference from the landlord for the duration of this tenancy, so long as you comply with this agreement.",Quiet Enjoyment,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"4.2 Security of tenure You have security of tenure so long as you, or in the case of a joint tenancy at least one of you, occupies the property as his/her only or principal home in accordance with the terms of this agreement. If a Notice to Quit is given by one of two (or more) joint tenants the tenancy will end for both (or all) when the Notice expires.",Notice,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.1.1 You or your joint tenant must occupy the property as your only or principal home and will inform the landlord in advance if not occupying for a period longer than six weeks with details of access arrangements.,Quiet Enjoyment,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.1.2 You must inform the landlord immediately of any changes in the household and must not cause the property to become statutorily overcrowded.,Property / Premises,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.1.3 You are responsible for your actions and for those of anyone living in or visiting the property and you must ensure that this tenancy agreement is not breached.,General Obligation,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.1.4 If you are a tenant living in sheltered housing you must not allow other people to live with you without the prior permission of the landlord in writing. Permission will only be given in exceptional circumstances.,Quiet Enjoyment,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.1.5 If the agreement is breached the landlord may commence legal proceedings, which could include possession of the property, demoting the tenancy, injunctions and orders with powers of arrest, and will work with other agencies to ensure a safe neighbourhood within the scope of the law.",General Obligation,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.2.1 You must pay the rent and any other charges due under the terms of this agreement every week in advance.,Payment / Rent,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.2.2 If you require support services you must pay Supporting People charges under the terms of this agreement every week in advance for housing related services provided in sheltered housing and other accommodation where support is provided. These charges will be notified to you and may increase from time to time as advised by the landlord.,Payment / Rent,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.2.3 The landlord will take legal action to recover unpaid rent and charges and this may result in the court ordering you to pay court costs.,Taxes / Utilities,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.3.1 You must decorate the internal parts of the property and repair/replace appliances, fixtures and fittings that were not provided by the landlord. If you are elderly and/or disabled you may qualify for assistance under the landlords decorating assistance scheme.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.3.2 You must report all repairs and defects in the property to the landlord immediately, except for those that you are responsible for as listed below:",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(a) Unblock local blockages of sinks, basins, toilets and baths. (b) Repair/replace door furniture such as handles, letterboxes, cupboard catches and hinges.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(c) Repair/replace WC seats, bath panels, plugs and chains on baths, basins and sinks.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(d) Replace glass in windows, unless it is caused by vandalism or a break in and a Police Crime Number is supplied.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(e) Ease door, locks and window hinges. (f) Repair minor plaster cracks and internal decorations and maintain wall and floor tiles.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(g) Replace (unless you live in sheltered housing) keys and locks when keys are lost or members of the household are locked out.,Possession / Surrender,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(h) Repair electrical faults arising from the use of faulty appliances.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(i) Repair/replace electrical plugs (not socket outlets) and fuses. (j) Repair/replace internal doors and locks.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(k) Fit waste and supply pipe work for washing machines and dishwashers and vents for tumble driers.,Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(l) Keep gully grids clear of leaves and rubbish. Housing will undertake some of these repairs for elderly and disabled tenants who are unable to carry them out and have no one else at the property who can undertake the repairs.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.3.3 You are responsible for any repairs that have resulted from any act by you, your household, your visitors or any 3rd party you have employed. This will include damage caused by a forced entry by the Police in accessing the property.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.3.4 Any works undertaken by you must comply with all current building regulations and the employment of suitably qualified contractors for all gas and electrical services.,General Obligation,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.3.5 You must pay for any damage to the property or any other property caused by a failure of your own appliances.,Liability / Indemnity,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.3.6 Where the landlord has installed a smoke alarm in the property you are responsible for testing it on a regular basis and for replacing batteries.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.4 Alterations to the Premises You must not, without first obtaining the written consent of the landlord:",Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(a) Make any structural alterations (including windows), or additions to the property or decorate the exterior of the property.",Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(b) Remove or alter the landlord’s fixed units, doors, fixtures or fittings.",Possession / Surrender,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(c) Erect a shed, greenhouse, conservatory or lean-to or other buildings or structure in or on the property.",Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(d) Plant any trees, or shrubs that may cause damage to the property or any neighbouring property.",Insurance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"(e) Remove or cut down any trees on the property. (f) Affix or hang any TV aerial, satellite dish or advertisement or any other thing to or from the exterior of the property. This consent may be subject to conditions that you must comply with.",Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.5 Condition of the Property You must keep the property in a reasonable condition and take reasonable steps to prevent infestation and condensation. You are responsible for cleaning your own windows and extractor fans where accessible.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.6 Rubbish and refuse You must dispose of all rubbish and refuse securely, safely and hygienically. You are responsible for arranging disposal of any material not usually collected by the refuse collector. You must not place or store any rubbish or materials against any outside walls of the property.",General Obligation,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.7 Common Parts and Areas You must keep the common areas outside your home and adjacent to the property clean, free from obstruction and tidy at all times and must pay for: a) The cleaning of lifts and communal areas if fouled by you, your household, visitors or pets. b) The clearing of blocked rubbish chutes blocked by inappropriate disposal of rubbish by you, your household or visitors. c) The clearing of refuse deposited in the common parts by you, your household or visitors.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.8 Recharges You must provide access to the property on 24 hours notice, or without notice in case of emergency, to the landlord to undertake whatever is necessary to make good any damage to the property, it’s fixtures or fittings, caused by a breach of your responsibilities under this agreement. You will be recharged all reasonable costs incurred where the landlord is required to access and make good any damage to the property caused by you.",Termination / Default,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.9 Parking and Vehicle Repairs You, your household and visitors, must comply with any parking conditions issued by the landlord and must not obstruct access to other property, the highway or emergency access areas. You, your household and visitors must not park any untaxed or un-roadworthy motor vehicle, industrial or heavy goods vehicles, caravan, boat, trailer etc on the landlord’s land without the landlords written permission. You, your household and visitors must not carry out or allow to be carried out any vehicle repairs at the property or on any Council land, including on estate roads, estate parking areas or other parts of the estate.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.10 Gardens and Patios You must maintain your own gardens, trees, hedges, window boxes, patios, fencing and gates to a reasonable standard. You must repair/replace inter garden fencing and gates and rear garden paths.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.11 Animals You must not keep at the property any animal or pet without the prior written permission of the landlord and must not keep the animal at the property if permission is withdrawn. If permission is given subject to conditions you must comply with the conditions. The landlord will not grant permission or will withdraw permission if the animal is or is likely to become a nuisance, annoyance or health hazard to any neighbour or person within the locality. If permission is given you will be responsible for the animal at all times and must not allow the animal into communal areas unattended or without a lead.",Use of Premises,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.12.1 You may assign the tenancy of the property as permitted by section 91 and 92 of the Housing Act 1985.Before assigning the tenancy to another secure tenant in accordance with Section 92 you must obtain the prior permission of the landlord in writing.,Assignment / Subletting,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.12.2 You must not sub-let the whole of the property in any circumstances. Where this occurs the landlord will take legal action to repossess the property.,Property / Premises,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.12.3 You may sub-let part of the property with the prior permission of the landlord in writing. The landlord will not unreasonably refuse you permission to sub-let part of the property to a lodger.,Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.13 Use of the Dwelling You, your household and visitors must not use the property for any illegal or immoral purpose or to store any gas bottles or cylinders, petrol canisters, weapons or inflammable substance. You must not use the property for running a business or allow any other person to do so without the written permission of the landlord and without appropriate planning consent. You or any other person must not advertise or display notices or signs for business purposes on the property without the written permission of the landlord.",Use of Premises,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.14.1 You are responsible for the behaviour of anyone who lives at or visits the property. The landlord will treat any breach of this agreement by others as your breach. You, your household and your visitors must not cause a nuisance or disturbance to any person or commit any acts of harassment to any person within the property, common parts or locality.",Termination / Default,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.14.2 Harassment includes (but is not limited to) the following: (a) Harassment by reason of age, disability race, gender, religion, culture or sexuality.",Termination / Default,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(b) Violence or threats of violence to any persons (c) Abusive or insulting words or behaviour.,Other / Unknown,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(d) Damage or threat of damage to property belonging to the landlord or another person.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(e) Writing any form of graffiti on Council property. (f) Making unnecessary or excessive noise.,Notice,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(g) Involvement in any criminal activity. (h) Any act or omission calculated to inconvenience or interfere with the peace or comfort of any person.,Liability / Indemnity,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.15 Domestic violence You must not cause or tolerate other members of the household to use or threaten to use violence against anyone else living in the property. Domestic violence includes, but is not limited to, physical, sexual, emotional and financial abuse and the imposition of social isolation. If you cause or permit domestic violence the landlord may take legal action to evict you.",General Obligation,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.16 Drugs You, your household and visitors must not store, use or supply drugs from or within the property, common parts or any other of the landlord’s property unless they are being stored for a lawful prescribed medicinal use. If you breach this clause, the landlord will co-operate with the Police and other agencies and this may result in possession of the property and/or arrest by the Police.",Termination / Default,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.17 Threats and Violence Against Staff You, your household and visitors must not threaten, verbally abuse or assault any member of staff employed by the landlord, its agents or contractors. If you breach this condition the landlord may restrict your access to staff, contractors or offices in such circumstances as are considered by the landlord as appropriate and may also commence legal proceedings against you.",Termination / Default,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.18 Terminating the Tenancy You may terminate the tenancy by giving the landlord four weeks notice to quit in writing and signed by you. You must allow access for the landlord to inspect the property within the four week notice period. Your secure tenancy or a demoted tenancy may be terminated by the landlord by serving on you the appropriate statutory notice where required. The court allows the landlord not to serve such a notice in certain cases of anti-social behaviour when obtaining a court order for possession. If your tenancy ceases to be a secure tenancy or a demoted tenancy the landlord may terminate the tenancy by giving you notice to quit.,Termination / Default,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.19.1 You must pay all outstanding debts due under the terms of the tenancy, leave and give up vacant possession of the property. You must remove all your belongings and anything that belongs to another person and leave the property clear of refuse. The property should be empty, including the removal of carpets, except for fixtures and fittings that belong to the landlord.",Possession / Surrender,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.19.2 You must pay any outstanding rent and charges due from any previous tenancy agreement with the landlord.,Taxes / Utilities,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.19.3 You must leave the property clean, in reasonable decorative condition and must make good any damage caused by you, your household or visitors.",Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.19.4 Where there are fixtures and fittings that are not the landlord’s responsibility to repair you must leave these fixtures and fittings in a good state of repair.,Repairs / Maintenance,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.19.5 Where you have removed the landlord’s fixtures and fittings you must replace them or leave your own fixtures and fittings in place. You have the right to claim compensation for qualifying improvements.,Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.19.6 You must return all keys to the property to the landlord at the address given in this agreement on or prior to the last day of the tenancy. If you do not return the keys on the last day of the tenancy you will be charged for use and occupation until they are returned.,Possession / Surrender,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
5.19.7 If any refuse or possessions are not removed from the property at the end of the tenancy the landlord may dispose of them.,Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5.19.8 You must pay the landlord all costs incurred as a result of you not complying with this part of the agreement. This will include removing refuse and other items, cleaning, disinfecting, fumigating, making good or repairing the property or any part of it or replacing fittings or fixtures in it, removing or making good any unauthorised additions or alterations to the property, or evicting any person left in occupation of the property by you at the end of the tenancy.",Alterations / Improvements,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"6. SIGNATURES You acknowledge the receipt of the keys, a copy of the tenant’s handbook and agree to all the terms within this agreement. Signed tenant (1) Date Print name Signed tenant (2) Date Print name Signed landlord or agent Date Print name Key to Number of keys Issued by Front door Rear door Communal door Sheds Windows Parking area Other CONTACT DETAILS OF NEXT OF KIN FOR EMERGENCY PURPOSES ONLY (OPTIONAL) Name…………………………………………..Tel No…………………………………..",Signature / Execution,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"1. Booking and License The Owner grants the Guest a temporary license to occupy the accommodation for the confirmed arrival and departure dates. This agreement does not create a permanent tenancy or any right to remain after checkout, subject to mandatory law.",Lease Grant,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"2. Accommodation The licensed accommodation is the furnished dwelling identified in the booking confirmation, together with ordinary use of listed amenities. Areas marked private, locked storage and service spaces are excluded.",Use of Premises,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"3. Charges The Guest shall pay the accommodation charge, cleaning fee, taxes and refundable security authorization shown in the booking summary. Additional approved services may be charged separately.",Taxes / Utilities,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"4. Occupancy Limit Occupancy is limited to the registered guests and may not exceed the stated maximum. Events, parties and unregistered overnight visitors are prohibited without written approval.",Other / Unknown,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
5. Check-in and Check-out Check-in begins at the stated time and checkout must occur by the stated departure time. Unauthorized late departure may result in a reasonable additional charge and recovery of losses caused to the next booking.,Other / Unknown,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"6. House Rules The Guest shall observe quiet hours, parking directions, waste procedures, pool or amenity rules and all posted safety instructions. Serious or repeated violations may result in termination of the stay.",Termination / Default,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"7. No Assignment The Guest may not transfer the booking, sublet the accommodation, sell access, or permit another person to assume control of the reservation without the Owner's written consent.",Assignment / Subletting,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
8. Care and Damage The Guest shall use the accommodation responsibly and promptly report damage or malfunction. The Guest is liable for loss or damage caused by the Guest or invitees beyond ordinary use.,Liability / Indemnity,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"9. Cleaning The Guest shall leave the accommodation in a reasonably tidy condition, place waste in designated containers and follow checkout instructions. The cleaning fee does not cover excessive cleaning, hazardous waste or restoration following misuse.",Payment / Rent,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
10. Utilities and Services Reasonable use of ordinary utilities is included. The Owner is not liable for short interruptions beyond its control but will use reasonable efforts to restore essential services.,Liability / Indemnity,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
11. Internet Internet access is provided as a convenience and is not guaranteed to be uninterrupted or suitable for business-critical use. The Guest shall not use the network for unlawful activity or infringement.,Use of Premises,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
12. Pets Pets are prohibited unless the booking expressly authorizes them. Protected assistance animals are handled in accordance with applicable law.,Governing Law,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"13. Smoking Smoking, vaping and open flames are prohibited inside the accommodation. A reasonable remediation charge may apply for violation.",General Obligation,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"14. Owner Access The Owner or manager may enter at reasonable times to address maintenance, safety, suspected rule violations or emergencies, while attempting to minimize interference with the Guest's stay.",Repairs / Maintenance,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"15. Safety The Guest shall not disable smoke alarms, carbon monoxide alarms, locks or safety equipment and shall supervise children around stairs, balconies, water features and other hazards.",Payment / Rent,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
16. Cancellation Cancellation rights and refunds are governed by the cancellation policy incorporated into the booking confirmation. Mandatory consumer rights prevail over inconsistent policy terms.,Insurance,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"17. Termination The Owner may terminate occupancy for serious safety threats, unlawful conduct, material property damage, excessive disturbance or failure to pay, subject to applicable law and proportionality.",Termination / Default,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
18. Liability The Owner is not responsible for loss of personal property except to the extent caused by the Owner's negligence or as otherwise required by law. Nothing excludes liability that cannot legally be excluded.,Liability / Indemnity,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"19. Indemnity The Guest shall indemnify the Owner against third-party claims arising from the Guest's unlawful or negligent conduct, except to the extent the claim resulted from the Owner's negligence.",Liability / Indemnity,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"20. Dispute Handling The parties shall first attempt to resolve complaints promptly through written communication. If unresolved, they may use mediation, platform dispute procedures or a court with lawful jurisdiction.",Dispute Resolution,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
"21. Governing Law This agreement is governed by the law of the place where the accommodation is located, without depriving the Guest of mandatory consumer protections that apply in the Guest's home jurisdiction.",Governing Law,short_term_rental_training_01.pdf,Short-Term Rental,train,Phase 5 Auto-Labeled Lease PDFs
